borough,major_category,avgCrimesPerYear
Newham,Fraud or Forgery,35
Croydon,Violence Against the Person,7532
Tower Hamlets,Violence Against the Person,6665
Lambeth,Other Notifiable Offences,502
Havering,Criminal Damage,1916
Sutton,Other Notifiable Offences,154
Harrow,Sexual Offences,3
Sutton,Sexual Offences,2
Bromley,Theft and Handling,7749
Greenwich,Violence Against the Person,5877
Havering,Other Notifiable Offences,262
Westminster,Robbery,1750
Croydon,Other Notifiable Offences,482
Brent,Fraud or Forgery,17
Waltham Forest,Robbery,1178
Lambeth,Drugs,2787
Hounslow,Fraud or Forgery,20
Kingston upon Thames,Sexual Offences,2
Wandsworth,Fraud or Forgery,17
Redbridge,Criminal Damage,1949
Hammersmith and Fulham,Burglary,1890
Greenwich,Other Notifiable Offences,399
Hounslow,Other Notifiable Offences,440
Waltham Forest,Sexual Offences,3
Redbridge,Robbery,854
Hounslow,Burglary,2336
Camden,Robbery,1031
Lewisham,Violence Against the Person,7072
Greenwich,Theft and Handling,7213
Islington,Drugs,1839
Ealing,Drugs,2065
Hillingdon,Burglary,2895
Hackney,Theft and Handling,10124
Havering,Theft and Handling,5845
Harrow,Violence Against the Person,3357
Richmond upon Thames,Sexual Offences,2
Kingston upon Thames,Criminal Damage,1178
Redbridge,Theft and Handling,7944
Enfield,Burglary,3357
Brent,Burglary,3213
Croydon,Robbery,1405
Wandsworth,Theft and Handling,10280
Brent,Robbery,1385
Westminster,Sexual Offences,6
Greenwich,Fraud or Forgery,11
City of London,Robbery,2
Merton,Violence Against the Person,3146
Enfield,Drugs,1472
Richmond upon Thames,Criminal Damage,1302
Richmond upon Thames,Theft and Handling,4539
Kingston upon Thames,Drugs,631
Greenwich,Sexual Offences,6
Bromley,Drugs,993
Hackney,Fraud or Forgery,15
Kensington and Chelsea,Criminal Damage,1093
Merton,Other Notifiable Offences,174
Tower Hamlets,Burglary,2390
Barking and Dagenham,Drugs,1020
Richmond upon Thames,Violence Against the Person,2257
Camden,Fraud or Forgery,13
Bexley,Theft and Handling,4452
Barnet,Drugs,1088
Sutton,Burglary,1467
Hackney,Sexual Offences,5
Brent,Sexual Offences,4
Wandsworth,Drugs,1054
Havering,Burglary,2366
Redbridge,Burglary,2970
Bromley,Sexual Offences,3
Merton,Drugs,739
Croydon,Sexual Offences,6
Croydon,Theft and Handling,10159
Kensington and Chelsea,Sexual Offences,2
Bexley,Drugs,816
Harrow,Other Notifiable Offences,222
Sutton,Criminal Damage,1608
Kingston upon Thames,Fraud or Forgery,7
Wandsworth,Criminal Damage,2181
Westminster,Theft and Handling,30846
Croydon,Fraud or Forgery,30
Haringey,Robbery,1120
Ealing,Other Notifiable Offences,489
Lewisham,Robbery,1161
Hackney,Violence Against the Person,6287
Waltham Forest,Drugs,1566
Lewisham,Theft and Handling,7820
Kingston upon Thames,Other Notifiable Offences,148
