borough,avgCrimesPerYear,population,rate
Croydon,28919,364815,7
Wandsworth,22746,307710,7
Bexley,12678,232774,5
Lambeth,32461,304481,10
Barking and Dagenham,16600,187029,8
Camden,30568,220087,13
Greenwich,20170,255483,7
Newham,29110,310460,9
Tower Hamlets,25397,256012,9
Barnet,23574,357538,6
Hounslow,20748,254927,8
Harrow,12981,240499,5
Kensington and Chelsea,19105,158251,12
Islington,25584,206285,12
Brent,25279,312245,8
Haringey,23694,255540,9
Bromley,20480,310554,6
Merton,12846,200543,6
Westminster,50556,219582,23
Hackney,24122,247182,9
Southwark,30974,288717,10
Enfield,21539,313935,6
Ealing,27947,339314,8
Sutton,11217,191123,5
Hammersmith and Fulham,20581,182445,11
Kingston upon Thames,9920,160436,6
Havering,15434,237927,6
Hillingdon,23294,275499,8
Waltham Forest,22649,259742,8
Richmond upon Thames,10748,187527,5
Redbridge,20393,281395,7
City of London,82,7412,1
Lewisham,23900,276938,8
